symbolSize,value,draggable,category,label
13.0,19,False,江净书,{'normal': {'show': 'True'}}
82.0,152,False,Eric,{'normal': {'show': 'True'}}
65.5,110,False,长弓雨晨,{'normal': {'show': 'True'}}
17.0,29,False,能手,{'normal': {'show': 'True'}}
121.0,233,False,奇迹,{'normal': {'show': 'True'}}
12.5,17,False,lemon,{'normal': {'show': 'True'}}
20.0,32,False,飞,{'normal': {'show': 'True'}}
46.0,87,False,瞎猫,{'normal': {'show': 'True'}}
34.0,51,False,李总,{'normal': {'show': 'True'}}
70.0,113,False,goldsupper,{'normal': {'show': 'True'}}
17.0,26,False,xiaoyueer,{'normal': {'show': 'True'}}
88.0,152,False,风,{'normal': {'show': 'True'}}
11.5,16,False,军长,{'normal': {'show': 'True'}}
14.0,23,False,加速器,{'normal': {'show': 'True'}}
60.0,105,False,小少爷,{'normal': {'show': 'True'}}
69.5,132,False,杏子,{'normal': {'show': 'True'}}
98.0,177,False,青青,{'normal': {'show': 'True'}}
13.0,22,False,丢丢bud,{'normal': {'show': 'True'}}
46.5,84,False,樱桃花开,{'normal': {'show': 'True'}}
25.5,47,False,祥子,{'normal': {'show': 'True'}}
46.5,85,False,liyou,{'normal': {'show': 'True'}}
34.0,59,False,reater,{'normal': {'show': 'True'}}
22.0,33,False,阿薰,{'normal': {'show': 'True'}}
164.0,311,False,dudu,{'normal': {'show': 'True'}}
23.0,42,False,大梦,{'normal': {'show': 'True'}}
26.5,46,False,bruce,{'normal': {'show': 'True'}}
15.0,25,False,如风,{'normal': {'show': 'True'}}
20.0,32,False,老五,{'normal': {'show': 'True'}}
20.5,36,False,曙光,{'normal': {'show': 'True'}}
60.0,114,False,骆驼,{'normal': {'show': 'True'}}
12.0,19,False,xiaojun,{'normal': {'show': 'True'}}
15.5,27,False,风也郎,{'normal': {'show': 'True'}}
37.5,59,False,白薇,{'normal': {'show': 'True'}}
73.0,126,False,燃灯大法师,{'normal': {'show': 'True'}}
10.5,17,False,summer,{'normal': {'show': 'True'}}
72.5,133,False,西西,{'normal': {'show': 'True'}}
34.5,63,False,上帝,{'normal': {'show': 'True'}}
11.5,19,False,凯文卡特,{'normal': {'show': 'True'}}
58.0,108,False,三毛,{'normal': {'show': 'True'}}
65.5,118,False,ciwei,{'normal': {'show': 'True'}}
133.0,239,False,阿弥陀佛,{'normal': {'show': 'True'}}
14.5,24,False,海鸥,{'normal': {'show': 'True'}}
34.5,62,False,不行了,{'normal': {'show': 'True'}}
19.0,34,False,winddancer,{'normal': {'show': 'True'}}
14.5,24,False,小鸟,{'normal': {'show': 'True'}}
20.5,37,False,pig,{'normal': {'show': 'True'}}
26.5,42,False,鸭子,{'normal': {'show': 'True'}}
13.5,21,False,流水,{'normal': {'show': 'True'}}
33.0,62,False,骆驼祥子,{'normal': {'show': 'True'}}
19.0,28,False,海豹,{'normal': {'show': 'True'}}
18.5,31,False,calcor,{'normal': {'show': 'True'}}
17.5,26,False,一天到晚游泳的小鲨鱼,{'normal': {'show': 'True'}}
20.0,36,False,瞬,{'normal': {'show': 'True'}}
10.0,16,False,冰睿,{'normal': {'show': 'True'}}
23.0,40,False,狗狗,{'normal': {'show': 'True'}}
12.5,18,False,betty,{'normal': {'show': 'True'}}
14.5,21,False,Sulawesi,{'normal': {'show': 'True'}}
10.0,16,False,柯西,{'normal': {'show': 'True'}}
77.5,144,False,braveheart,{'normal': {'show': 'True'}}
278.5,540,False,成语,{'normal': {'show': 'True'}}
26.0,43,False,暗布烧,{'normal': {'show': 'True'}}
45.5,85,False,Emily,{'normal': {'show': 'True'}}
244.5,461,False,坐家,{'normal': {'show': 'True'}}
156.5,301,False,蓝山,{'normal': {'show': 'True'}}
229.0,441,False,雨人,{'normal': {'show': 'True'}}
255.0,492,False,西瓜,{'normal': {'show': 'True'}}
172.5,330,False,沙漠斗魂,{'normal': {'show': 'True'}}
11.0,18,False,步行者,{'normal': {'show': 'True'}}
15.5,23,False,郑姐姐,{'normal': {'show': 'True'}}
19.0,34,False,feng,{'normal': {'show': 'True'}}
23.0,39,False,minilam,{'normal': {'show': 'True'}}
146.5,272,False,瓦尼亚,{'normal': {'show': 'True'}}
14.5,19,False,xiaoche,{'normal': {'show': 'True'}}
13.5,20,False,sandy,{'normal': {'show': 'True'}}
90.0,170,False,松鼠,{'normal': {'show': 'True'}}
14.0,23,False,枯苦草,{'normal': {'show': 'True'}}
17.5,30,False,梨树,{'normal': {'show': 'True'}}
96.5,176,False,逛逛,{'normal': {'show': 'True'}}
12.0,20,False,乐tian,{'normal': {'show': 'True'}}
13.5,21,False,石头,{'normal': {'show': 'True'}}
18.5,29,False,非林,{'normal': {'show': 'True'}}
16.0,26,False,锰锌,{'normal': {'show': 'True'}}
11.5,19,False,vjv,{'normal': {'show': 'True'}}
12.0,20,False,西瓜太郎,{'normal': {'show': 'True'}}
14.0,20,False,大麻,{'normal': {'show': 'True'}}
142.0,221,False,火把,{'normal': {'show': 'True'}}
24.5,41,False,老猫,{'normal': {'show': 'True'}}
13.0,22,False,easy,{'normal': {'show': 'True'}}
11.5,16,False,管家,{'normal': {'show': 'True'}}
13.5,22,False,美味炸酱面,{'normal': {'show': 'True'}}
19.0,28,False,猫,{'normal': {'show': 'True'}}
22.0,32,False,乖乖虎,{'normal': {'show': 'True'}}
14.0,23,False,qzk,{'normal': {'show': 'True'}}
81.5,156,False,黑猫,{'normal': {'show': 'True'}}
10.0,16,False,pcd,{'normal': {'show': 'True'}}
31.5,55,False,三脚猫,{'normal': {'show': 'True'}}
96.5,184,False,鼠鼠,{'normal': {'show': 'True'}}
20.5,37,False,睡神,{'normal': {'show': 'True'}}
40.0,73,False,stn,{'normal': {'show': 'True'}}
14.0,22,False,窗子,{'normal': {'show': 'True'}}
72.0,132,False,G,{'normal': {'show': 'True'}}
11.5,19,False,自行车,{'normal': {'show': 'True'}}
46.0,78,False,小侃,{'normal': {'show': 'True'}}
19.5,21,False,丽江团新闻办公室,{'normal': {'show': 'True'}}
21.5,37,False,麻花,{'normal': {'show': 'True'}}
97.5,160,False,理事会,{'normal': {'show': 'True'}}
51.5,78,False,蜗牛,{'normal': {'show': 'True'}}
51.5,97,False,Mosso,{'normal': {'show': 'True'}}
14.0,23,False,Radiant,{'normal': {'show': 'True'}}
21.0,32,False,Boxer,{'normal': {'show': 'True'}}
11.5,18,False,小痱子,{'normal': {'show': 'True'}}
102.0,189,False,阿猫,{'normal': {'show': 'True'}}
19.5,34,False,Flamingo,{'normal': {'show': 'True'}}
445.5,861,False,juzi,{'normal': {'show': 'True'}}
21.0,38,False,earthbound,{'normal': {'show': 'True'}}
11.0,18,False,康康,{'normal': {'show': 'True'}}
11.5,18,False,玄机鱼,{'normal': {'show': 'True'}}
67.0,126,False,哈图,{'normal': {'show': 'True'}}
12.5,21,False,wall,{'normal': {'show': 'True'}}
131.0,252,False,明朗,{'normal': {'show': 'True'}}
62.0,118,False,rainyguest,{'normal': {'show': 'True'}}
33.0,62,False,雅沐,{'normal': {'show': 'True'}}
133.0,252,False,小熊,{'normal': {'show': 'True'}}
14.0,20,False,飞霜,{'normal': {'show': 'True'}}
12.0,18,False,辣子,{'normal': {'show': 'True'}}
173.5,323,False,猎隼,{'normal': {'show': 'True'}}
13.5,20,False,我是坐家,{'normal': {'show': 'True'}}
14.5,17,False,队医组,{'normal': {'show': 'True'}}
76.0,145,False,nipple,{'normal': {'show': 'True'}}
207.0,382,False,dingruogu,{'normal': {'show': 'True'}}
56.5,105,False,芊芊,{'normal': {'show': 'True'}}
21.0,38,False,布小丁,{'normal': {'show': 'True'}}
50.5,95,False,Nessie,{'normal': {'show': 'True'}}
82.0,157,False,傻笑,{'normal': {'show': 'True'}}
106.0,197,False,蛟哥,{'normal': {'show': 'True'}}
14.0,21,False,逍遥,{'normal': {'show': 'True'}}
17.5,26,False,hammer_syf,{'normal': {'show': 'True'}}
17.5,28,False,夏夏,{'normal': {'show': 'True'}}
25.5,43,False,薇依,{'normal': {'show': 'True'}}
367.5,697,False,悠悠,{'normal': {'show': 'True'}}
21.5,34,False,大鸟,{'normal': {'show': 'True'}}
29.0,53,False,totoro,{'normal': {'show': 'True'}}
16.0,26,False,阿桶,{'normal': {'show': 'True'}}
74.0,138,False,学究,{'normal': {'show': 'True'}}
363.5,661,False,Vincent,{'normal': {'show': 'True'}}
308.0,593,False,AuPt,{'normal': {'show': 'True'}}
471.0,861,False,hammer,{'normal': {'show': 'True'}}
103.0,191,False,仙子,{'normal': {'show': 'True'}}
27.0,47,False,树懒,{'normal': {'show': 'True'}}
293.5,550,False,丁丁,{'normal': {'show': 'True'}}
140.5,267,False,猫er,{'normal': {'show': 'True'}}
90.5,174,False,大桃子,{'normal': {'show': 'True'}}
73.5,136,False,骑士,{'normal': {'show': 'True'}}
19.0,31,False,yanzi,{'normal': {'show': 'True'}}
121.5,232,False,Fay,{'normal': {'show': 'True'}}
36.5,65,False,少典,{'normal': {'show': 'True'}}
74.0,138,False,康博斯,{'normal': {'show': 'True'}}
11.0,16,False,冰棍,{'normal': {'show': 'True'}}
21.0,38,False,小孩,{'normal': {'show': 'True'}}
14.5,22,False,涡轮青蛙,{'normal': {'show': 'True'}}
18.0,30,False,嫩草,{'normal': {'show': 'True'}}
39.5,70,False,钟绿,{'normal': {'show': 'True'}}
155.0,303,False,瘸腿猪,{'normal': {'show': 'True'}}
89.0,169,False,诡异葡萄,{'normal': {'show': 'True'}}
148.0,287,False,airily,{'normal': {'show': 'True'}}
109.0,203,False,silence,{'normal': {'show': 'True'}}
64.0,121,False,大春儿,{'normal': {'show': 'True'}}
46.5,79,False,海狮,{'normal': {'show': 'True'}}
69.0,133,False,丛林,{'normal': {'show': 'True'}}
