source,target,value
咖啡少爷,cruelfox,629
咖啡少爷,短歌,188
咖啡少爷,樱木,437
咖啡少爷,fish,74
咖啡少爷,声音,49
咖啡少爷,兔子,649
咖啡少爷,继缘,380
咖啡少爷,centimeter,277
原子,starryday,271
原子,笨修车佬,18
原子,原子,743
原子,fish,272
原子,大力,306
原子,樱木,95
everest,原子,12
everest,xiaoyingzi,1023
everest,everest,2649
yang,鸟先生,91
yang,大力,84
yang,david,302
yang,cruelfox,53
yang,starryday,2911
yang,鸽子,15
yang,大刀,460
yang,泥巴,501
yang,芋头,319
原子,扬,127
原子,everest,39
原子,向日葵,33
原子,bepoaqka,7
baby,向日葵,128
baby,david,20
starryday,原子,308
starryday,车协另类,177
starryday,飞轮,947
惠龙,兰色,128
岛礁,咖啡少爷,226
岛礁,fairyplant,20
江净书,baby,511
江净书,江净书,1062
江净书,惠龙,49
Eric,Eric,3627
Eric,diaochan,67
Eric,盲目,32
Eric,starryday,273
Eric,咖啡少爷,151
Eric,原子,9
Eric,死不了,38
Eric,cruelfox,43
Eric,木子,327
自由的风,原子,16
自由的风,江净书,27
自由的风,金鱼,24
自由的风,starryday,169
自由的风,baby,121
自由的风,david,19
阿悠,原子,358
阿悠,q.c.,27
阿悠,starryday,482
阿悠,金鱼,42
楚江雪,向日葵,71
长弓雨晨,eel,59
长弓雨晨,谷子,1541
长弓雨晨,fairyplant,56
长弓雨晨,diaochan,68
长弓雨晨,长弓雨晨,6684
长弓雨晨,江楼月,137
长弓雨晨,金鱼,147
长弓雨晨,baby,1430
长弓雨晨,Betty,43
长弓雨晨,盲目,11
长弓雨晨,Eric,5
长弓雨晨,wonder,47
长弓雨晨,yang,21
长弓雨晨,yiZao,6
长弓雨晨,能手,58
长弓雨晨,短歌,192
长弓雨晨,Wonder,758
长弓雨晨,老顽童,40
长弓雨晨,奇迹,33
长弓雨晨,泡菜,290
长弓雨晨,山石24,15
车协另类,盲目,24
fairyplant,diaochan,101
fairyplant,fairyplant,1877
fairyplant,金鱼,76
fairyplant,yinwei,233
fairyplant,盲目,30
长弓雨晨,樱木,618
长弓雨晨,向日葵,46
长弓雨晨,liana,163
长弓雨晨,saying,30
yang,奇迹,35
yang,惠龙,227
yang,yinwei,555
yang,原子,558
谷子,樱木,75
谷子,yang,354
谷子,能手,69
谷子,薛金段玉,32
谷子,阿悠,592
谷子,谷子,5310
谷子,泡菜,2805
谷子,stream,10
谷子,lemon,429
谷子,starryday,891
谷子,so,1440
谷子,最幸福的前旗,825
谷子,阿风,120
谷子,飞,16
谷子,猫豆,393
长弓雨晨,咖啡少爷,637
长弓雨晨,瞎猫,12
长弓雨晨,豆豆狐,37
长弓雨晨,李总,90
goldsupper,原子,552
xiaoyueer,原子,22
joan010,joan010,207
谷子,贝多芬,206
谷子,乐乐,177
谷子,风,189
谷子,咖啡少爷,317
谷子,军长,18
谷子,加速器,214
谷子,继缘,147
谷子,WXY,33
谷子,NEVERDOIT,33
starryday,david,33
starryday,starryday,13545
starryday,漂泊的叶,129
starryday,深蓝,41
starryday,疾风,29
starryday,鸽子,375
starryday,外星人BT,263
starryday,小少爷,22
starryday,黑鬼,12
starryday,小黑,42
starryday,神仙猪,83
starryday,CD,141
starryday,鬼混,237
starryday,猫豆,343
starryday,杏子,333
starryday,青青,470
cruelfox,兔子,82
cruelfox,apple,20
cruelfox,peach,62
cruelfox,starryday,17
cruelfox,yang,58
cruelfox,欧瑞张鹏,37
cruelfox,信仰,48
cruelfox,fairyplant,161
自由,xiaoyueer,25
自由,兔子,57
樱木,车协另类,11
樱木,鸽子,69
樱木,energid,36
樱木,理事长,153
樱木,wyongh,57
樱木,短歌,121
樱木,岛礁,17
樱木,正琛,195
樱木,没想好,8
樱木,原子,389
樱木,丢丢bud,119
樱木,加速器,221
yang,xiaoyueer,37
yang,继缘,503
阿悠,江净书,45
阿悠,兔子,434
阿悠,鸽子,300
阿悠,xiaobuding,87
自由的风,bigpig,252
空门,樱桃花开,93
空门,空门,463
空门,祥子,131
空门,energid,53
空门,cure,192
空门,兔子,16
空门,faquir,213
空门,咖啡少爷,44
空门,黑鬼,3
空门,liyou,134
空门,reater,138
江净书,祥子,417
江净书,阿薰,309
江净书,starryday,994
江净书,goldsupper,120
江净书,短歌,9
江净书,奇迹,675
江净书,咖啡少爷,378
江净书,w_dw,180
江净书,原子,193
江净书,大力,5
江净书,dudu,43
江净书,兔子,59
江净书,黑鬼,8
江净书,frankie,130
江净书,长弓雨晨,386
江净书,大梦,202
江净书,樱桃花开,173
江净书,yinwei,18
江净书,毛毛虫,15
bruce,七月,9
bruce,樱桃花开,609
bruce,能手,73
bruce,祥子,922
bruce,奇迹,42
bruce,飞轮,1484
bruce,liyou,137
bruce,毛毛虫,19
bruce,理事长,306
bruce,咖啡少爷,569
bruce,robber,979
bruce,泡菜,316
bruce,鸽子,13
bruce,如风,12
bruce,霏儿,372
bruce,没想好,167
bruce,老五,213
bruce,小科,112
bruce,david,454
bruce,baby,396
bruce,fairyplant,512
bruce,energid,377
bruce,迷惘,41
bruce,金鱼,97
bruce,原子,168
bruce,starryday,245
bruce,信仰,179
f.s.s.,兔子,13
f.s.s.,江净书,122
f.s.s.,f.s.s.,1714
f.s.s.,咖啡少爷,94
谷子,fairyplant,54
谷子,祥子,1265
谷子,stone,169
谷子,f.s.s.,489
谷子,原子,198
谷子,大力,10
谷子,兔子,269
谷子,向日葵,73
谷子,江净书,47
咖啡少爷,阿薰,398
咖啡少爷,w_dw,90
阿薰,咖啡少爷,130
阿薰,w_dw,205
阿薰,祥子,112
阿薰,猫豆,629
阿薰,泡菜,583
阿薰,江净书,187
阿薰,樱木,703
阿薰,樱桃花开,356
阿薰,阿薰,1604
阿薰,原子,238
兔子,原子,17
兔子,capu,7
兔子,dudu,11
兔子,f.s.s.,407
兔子,starryday,264
moustach,祥子,245
moustach,阿薰,662
moustach,liyou,68
moustach,咖啡少爷,780
moustach,阿风,1374
moustach,曙光,13
moustach,向日葵,66
moustach,飞轮,872
紫色偶然,reater,82
紫色偶然,岛礁,16
紫色偶然,泡菜,72
bobotree,樱木,277
bobotree,岛礁,501
bobotree,原子,532
bobotree,cruelfox,630
bobotree,江净书,216
bobotree,大熊,90
bobotree,咖啡少爷,985
bobotree,金鱼,248
bobotree,猫豆,997
bobotree,风野郎A,93
bobotree,毛毛虫,138
猫豆,咖啡少爷,591
猫豆,李子,449
猫豆,bobotree,1499
猫豆,曙光,602
猫豆,樱木,388
风,岛礁,81
风,starryday,351
咖啡少爷,骆驼,597
咖啡少爷,祥子,153
咖啡少爷,海狸,300
咖啡少爷,屠夫,187
咖啡少爷,风,306
屠夫,屠夫,299
屠夫,曙光,201
屠夫,薛金断玉,217
屠夫,不韦,92
屠夫,枢辰,16
屠夫,毛毛虫,23
屠夫,樱木,11
屠夫,xiaojun,76
屠夫,兔子,143
fairyplant,风,122
fairyplant,海狸,252
fairyplant,彩虹,19
fairyplant,枢辰,94
fairyplant,阿薰,169
fairyplant,f.s.s.,178
fairyplant,樱木,700
fairyplant,bobotree,750
fairyplant,自由,323
fairyplant,飞轮,182
阿薰,葫芦,17
阿薰,屠夫,310
阿薰,毛毛虫,38
阿薰,xiaojun,46
阿薰,金鱼,40
阿薰,少帅,12
阿薰,短歌,12
阿薰,cruelfox,58
阿薰,飞轮,419
阿薰,大力,163
阿薰,reater,379
阿薰,风也郎,241
阿薰,robber,376
阿薰,彩虹,73
阿薰,小小,41
阿薰,兔子,468
阿薰,枢辰,259
阿薰,海狸,57
阿薰,骆驼,528
阿薰,薛金段玉,194
阿薰,继缘,516
阿薰,光头飞车,121
阿薰,鸽子,42
曙光,樱木,19
曙光,robber,7
曙光,樱桃花开,72
曙光,曙光,271
曙光,starryday,8
